Code,Description1,Description2,Last_Updated
A1001007,Dressing for one wound                                                          Dressing for one wound,Dressing for one wound,09-09-2025
A2001007,Dressing for two wounds                                                         Dressing for two wounds,Dressing for two wounds,09-09-2025
A3001007,Dressing for three wounds                                                       Dressing for three wounds,Dressing for three wounds,09-09-2025
A4001007,Dressing for four wounds                                                        Dressing for four wounds,Dressing for four wounds,09-09-2025
A5001007,Dressing for five wounds                                                        Dressing for five wounds,Dressing for five wounds,09-09-2025
A6001007,Dressing for six wounds                                                         Dressing for six wounds,Dressing for six wounds,09-09-2025
A7001007,Dressing for seven wounds                                                       Dressing for seven wounds,Dressing for seven wounds,09-09-2025
A8001007,Dressing for eight wounds                                                       Dressing for eight wounds,Dressing for eight wounds,09-09-2025
A9001007,Dressing for nine or more wounds                                                Dressing for 9 or more wound,Dressing for 9 or more wound,09-09-2025
AA001007,Anesthesia services performed personally by anesthesiologist                    Anesthesia perf by anesgst,Anesthesia perf by anesgst                             3350.5,09-09-2025
AB001007,Audiology service furnished personally by an audiologist without a              Aud svs w/o order evry 12mo,Aud svs w/o order evry 12mo,09-09-2025
AB002008,physician/npp order for non-acute hearing assessment unrelated to,,09-09-2025
AB003008,"disequilibrium, or hearing aids, or examinations for the purpose of",,09-09-2025
AB004008,"prescribing, fitting, or changing hearing aids; service may be performed once",,09-09-2025
AB005008,"every 12 months, per beneficiary",,09-09-2025
AD001007,"Medical supervision by a physician: more than four concurrent anesthesia        Md supervision, >4 anes proc","Md supervision, >4 anes proc                           3350.5",09-09-2025
AD002008,procedures,,09-09-2025
AE001007,Registered dietician                                                            Registered dietician,Registered dietician,09-09-2025
AF001007,Specialty physician                                                             Specialty physician,Specialty physician,09-09-2025
AG001007,Primary physician                                                               Primary physician,Primary physician,09-09-2025
AH001007,Clinical psychologist                                                           Clinical psychologist,Clinical psychologist                                  2150    5112,09-09-2025
AI001007,Principal physician of record                                                   Principal physician of rec,Principal physician of rec,09-09-2025
AJ001007,Clinical social worker                                                          Clinical social worker,Clinical social worker                                 2152    5113,09-09-2025
AK001007,Non participating physician                                                     Non participating physician,Non participating physician,09-09-2025
AM001007,"Physician, team member service                                                  Physician, team member svc","Physician, team member svc                             4105.7",09-09-2025
AO001007,Alternate payment method declined by provider of service                        Prov declined alt pmt method,Prov declined alt pmt method,09-09-2025
AP001007,Determination of refractive state was not performed in the course of diagnostic No dtmn of refractive state,No dtmn of refractive state,09-09-2025
AP002008,ophthalmological examination,,09-09-2025
AQ001007,Physician providing a service in an unlisted health professional shortage area  Physician service hpsa area,Physician service hpsa area,09-09-2025
AQ002008,(hpsa),,09-09-2025
AR001007,Physician provider services in a physician scarcity area                        Physician scarcity area,Physician scarcity area,09-09-2025
AS001007,"Physician assistant, nurse practitioner, or clinical nurse specialist services  Assistant at surgery service",Assistant at surgery service,09-09-2025
AS002008,for assistant at surgery,,09-09-2025
AT001007,"Acute treatment (this modifier should be used when reporting service 98940,     Acute treatment",Acute treatment,09-09-2025
AT002008,"98941, 98942)",,09-09-2025
AU001007,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply Uro, ostomy or trach item","Uro, ostomy or trach item",09-09-2025
AV001007,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic  Item w prosthetic/orthotic",Item w prosthetic/orthotic,09-09-2025
AW001007,Item furnished in conjunction with a surgical dressing                          Item w a surgical dressing,Item w a surgical dressing,09-09-2025
AX001007,Item furnished in conjunction with dialysis services                            Item w dialysis services,Item w dialysis services,09-09-2025
AY001007,Item or service furnished to an esrd patient that is not for the treatment of   Item/service not for esrd tx,Item/service not for esrd tx,09-09-2025
AY002008,esrd,,09-09-2025
AZ001007,Physician providing a service in a dental health professional shortage area for Physician serv in dent hpsa,Physician serv in dent hpsa,09-09-2025
AZ002008,the purpose of an electronic health record incentive payment,,09-09-2025
BA001007,Item furnished in conjunction with parenteral enteral nutrition (pen) services  Item w pen services,Item w pen services,09-09-2025
BL001007,Special acquisition of blood and blood products                                 Spec acquisition blood prods,Spec acquisition blood prods,09-09-2025
BO001007,"Orally administered nutrition, not by feeding tube                              Nutrition oral admin no tube",Nutrition oral admin no tube,09-09-2025
BP001007,The beneficiary has been informed of the purchase and rental options and has    Bene electd to purchase item,Bene electd to purchase item,09-09-2025
BP002008,elected to purchase the item,,09-09-2025
BR001007,The beneficiary has been informed of the purchase and rental options and has    Bene elected to rent item,Bene elected to rent item,09-09-2025
BR002008,elected to rent the item,,09-09-2025
BU001007,The beneficiary has been informed of the purchase and rental options and after  Bene undecided on purch/rent,Bene undecided on purch/rent,09-09-2025
BU002008,30 days has not informed the supplier of his/her decision,,09-09-2025
CA001007,Procedure payable only in the inpatient setting when performed emergently on an Procedure payable inpatient,Procedure payable inpatient,09-09-2025
CA002008,outpatient who expires prior to admission,,09-09-2025
CB001007,Service ordered by a renal dialysis facility (rdf) physician as part of the     Esrd bene part a snf-sep pay,Esrd bene part a snf-sep pay,09-09-2025
CB002008,"esrd beneficiary's dialysis benefit, is not part of the composite rate, and is",,09-09-2025
CB003008,separately reimbursable,,09-09-2025
CC001007,Procedure code change (use 'cc' when the procedure code submitted was changed   Procedure code change,Procedure code change,09-09-2025
CC002008,either for administrative reasons or because an incorrect code was filed),,09-09-2025
CD001007,Amcc test has been ordered by an esrd facility or mcp physician that is part of Amcc test for esrd or mcp md,Amcc test for esrd or mcp md                           4270.2,09-09-2025
CD002008,the composite rate and is not separately billable,,09-09-2025
